review_text,rating,author,date,nama desa wisata
"Ruang Ganti Acak-acakan,Pintu Toilet Jebol kok gak segera di benahi ?
Minim ruang ganti",1,Abast _13,2026-03-29T03:56:37.879Z,Osing
Sangat bagus kolam renang disini suasananya juga terasa tenang,5,Prayitno Yitno,2026-03-17T13:36:05.627Z,Osing
Mayan,3,Faisal Kurniawan,2026-02-15T04:00:29.848Z,Osing
seru,5,Acc ffindo,2026-02-06T10:28:23.859Z,Osing
"Rumah-rumah lama masih terawat dan beberapa alih fungsi. Penduduknya ramah, tamu boleh mengambil foto rumah mereka.",4,Agus Dwi Hariyanto,2026-01-18T07:48:08.537Z,Osing
"Gak kaya dulu pertama datang sekarang gak telalu bwrsih, banyak bangunan tbengkakai kasih kesan kotor dan serem. Tapi dia punya pemandangan cantik banget",5,Miss Pj,2026-01-16T22:55:50.766Z,Osing
"Kotor
Banyak Nyamuk
Kasihan banget lokasi dan desa wisata adat kondisinya sekarang kyk gini
Harga Tiket Murah
Dewasa 10rb
Anak2 5rb
Parkir Mobil 4rb
Udah Sepi Banget.",1,kuncoro fajar wiroantoyo,2026-01-08T06:26:07.892Z,Osing
"Parah.
Tiket Dewasa 10rb
Anak2 5rb
Parkir Mobil 4rb
Dikasih diskon 5rb TAPI GADIKASIH NOTA atau TIKET MASUK SAMA SEKALI (Trus UANG TIKET MASUK dipake SIAPA)
PERAWATANNYA 0 PARAH.
KOTOR, NGGAK TERAWAT, AIR KOLAM BESAR KOSONG  NYAMUK DAN KOTORAN DIMANA2.

Kasihan banget tempatnya.",1,Gelandang Bertahan,2026-01-06T07:58:51.426Z,Osing
"The place closed in the weakday, it's kind like nothing that you can see there. Like it has stopped operating",1,Eni Mardiana,2025-12-27T10:34:42.183Z,Osing
Air pemandian sumber alam khas banyuwangi,5,bengkel ud.gps_garage,2025-12-24T22:46:14.329Z,Osing
"Tempat tidak terawat, hanya ada pemandian. Jam operasional hanya sampai jam 16.00",4,Rosana Sari,2025-12-23T09:35:51.467Z,Osing
Orangnya ramah,5,Rahman 69,2025-11-27T11:23:57.189Z,Osing
Desa wisata dgn jajanan dan kebudayaan Osing. Siap2 utk acara kopi sewu dilokasi ini,5,ed iwan,2025-11-17T09:46:34.192Z,Osing
"Pas banget kesana ada acara Kopi Sepuluh Ewu..
Rame bgt..
Jajanan nya banyak dan meriah..
Spot tari2an dan panggung hiburan musik..
Keren..",5,Dias Yunanda,2025-11-08T21:25:52.956Z,Osing
"Kamar mandi yang rusak, seperti tak ada perawatan, apalagi yang ada di atas, one for all nya kerasa",1,Klitscho aloynski Morits,2025-11-07T03:04:59.517Z,Osing
Destinasi untuk mengetahui kehidupan osing dari dekat,5,Andrei Arnando,2025-11-02T00:14:59.916Z,Osing
bagus,5,Zahra Aulia,2025-10-19T04:21:22.776Z,Osing
Sangat mudah digunakan,5,Reka Dani,2025-09-09T23:59:01.648Z,Osing
BAGUS,5,I LOVE BANYUWANGI__01,2025-08-26T01:42:58.177Z,Osing
"A charming little village with unique architecture. The locals are friendly, and there’s a rich tradition of music and beautiful traditional dances",5,Vũ Thị Kim Chi,2025-07-08T04:40:01.427Z,Osing
Harga Masuk Renang Murah Meriah.,4,Lucky Banyuwangi,2025-07-04T23:42:38.979Z,Osing
"Kedua kalinya berkunjung ke Banyuwangi,, kota yang mengesankan  , sejuk dan ramah"" Orang-orang nya ☺☺next time liburan ke sini lagi 🥰😍",5,Arlisah Ariasih,2025-07-04T09:35:04.885Z,Osing
