review_text,rating,author,date,nama desa wisata,provinsi
"Yang menarik dari wisata ini, untuk menuju pulau Kemaro kita wajib naek perahu melintasi sungai Musi yang panjang.
Serunya dalam perjalanan yang diguncang guncang deburan dan ombak kecil.
Asyik dan seru
Recommended 👍",5,Indiis Waelah,2026-05-04T02:04:47.425Z,Pulau Kemaro,Sumatera Selatan
Family gathring kesini,5,Ferriyal Sepriza FH,2026-05-03T01:20:50.408Z,Pulau Kemaro,Sumatera Selatan
Tempat ini sangat seru banyak makanan dan minuman yang di perjuanl belikan di situ sehingga bisa membantu daya tarik orang,5,revan Saputra,2026-03-24T09:50:50.567Z,Pulau Kemaro,Sumatera Selatan
"Tempatnya bersih, dan harga makanan, aksesoris terjangkau tidak membuat leher tercekik, kalo ada event besar juga ada polisi yang jaga jadi sangat aman ya..",5,Aprianto,2026-03-19T13:57:06.757Z,Pulau Kemaro,Sumatera Selatan
Rumah saya,5,Yusril Eka Saputra,2026-03-07T13:47:31.149Z,Pulau Kemaro,Sumatera Selatan
"Lumayan lah sudah lama gak cap go meh
Tapi kalau bisa lebih rapi dan bersih sih
Sayang rame dan hidup loh eventnya",3,廖Felix,2026-03-02T14:37:56.542Z,Pulau Kemaro,Sumatera Selatan
Pulau kemaro selain merupakan tempat ibadah umat Buddha juga menjadi salah satu tempat wisata yang wajib dikunjungi di Palembang. Apalagi sekarang setelah di reklamasi sehingga pulau menjadi lebih luas dan tertata 👍. Lebih bagus lagi kalau mengunjungi pulau ini di saat perayaan cap go meh 🧧,5,Leo Nardo,2026-03-01T12:42:37.836Z,Pulau Kemaro,Sumatera Selatan
Religiua,5,Rec Diec,2026-02-27T14:20:23.743Z,Pulau Kemaro,Sumatera Selatan
"Baiknya lebih di kelola lebih baik lagi, sayang sekali aset sejarah kurang terawat",4,Ira Wira,2025-12-29T07:22:18.156Z,Pulau Kemaro,Sumatera Selatan
"🌿 Legenda Pulau Kemaro

Pulau Kemaro dipercaya berasal dari kisah cinta tragis antara Siti Fatimah, putri bangsawan Palembang, dan Tan Bun An, seorang pangeran dari Tiongkok.
Keduanya saling jatuh cinta meski berasal dari budaya dan latar belakang yang berbeda.

Saat Tan Bun An datang ke Palembang untuk melamar, ia membawa hadiah berupa guci-guci besar yang konon berisi emas. Namun saat dibuka, isinya terlihat seperti sawi asin. Karena merasa dihina, Siti Fatimah kecewa dan menolak hadiah tersebut.

Tan Bun An yang merasa bersalah kemudian membuang guci-guci itu ke Sungai Musi. Namun setelah disadari, di dasar guci ternyata tersembunyi emas. Ia pun menyelam untuk mengambilnya, tapi tak pernah kembali ke permukaan.
Melihat hal itu, Siti Fatimah menyusul dengan melompat ke sungai demi cintanya.

Konon, dari tempat tenggelamnya mereka berdua muncullah sebuah daratan kecil yang kini dikenal sebagai Pulau Kemaro.
Pulau ini dipercaya sebagai simbol cinta sejati, kesetiaan, dan pengorbanan.

⸻

🏮 Fakta Menarik
•	Pulau Kemaro tidak pernah tergenang meski Sungai Musi pasang.
•	Di pulau ini terdapat pagoda 9 lantai, vihara, dan makam yang dipercaya sebagai makam Siti Fatimah & Tan Bun An.
•	Setiap perayaan Cap Go Meh, pulau ini ramai dikunjungi peziarah dan wisatawan.",4,Miketravelsofar,2025-12-25T00:29:36.461Z,Pulau Kemaro,Sumatera Selatan
