review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
Subhanalloh,subhanallah,subhanallah,Subhanalloh,5,Dien Saef,2026-05-06T09:47:55.404Z,Nagari Pariangan,Sumatera Barat
Bagus,bagus,bagus,Bagus,5,Azman Hadi,2026-04-01T05:06:58.906Z,Nagari Pariangan,Sumatera Barat
"Suasana desa yang indah pemandangannya, mampir di salah satu cafe, meminum daun kawa jahe merah, menyenangkan",suasana desa indah pemandangannya mampir salah cafe meminum daun kawa jahe merah menyenangkan,suasana desa indah pandang mampir salah cafe minum daun kawa jahe merah senang,"Suasana desa yang indah pemandangannya, mampir di salah satu cafe, meminum daun kawa jahe merah, menyenangkan",5,gege gege,2026-03-31T03:00:01.102Z,Nagari Pariangan,Sumatera Barat
desa diatas awan,desa diatas awan,desa atas awan,desa diatas awan,5,Hariza arrvviie,2026-03-26T09:43:08.734Z,Nagari Pariangan,Sumatera Barat
Desa dengan view persawahan yang sangat cantik. Dengan udara yabg masih sangat segar di sertai kabut yang menambah syahdu,desa view persawahan cantik udara yabg segar sertai kabut menambah syahdu,desa view sawah cantik udara yabg segar serta kabut tambah syahdu,Desa dengan view persawahan yang sangat cantik. Dengan udara yabg masih sangat segar di sertai kabut yang menambah syahdu,5,Triaintan Sari,2026-03-26T06:28:08.454Z,Nagari Pariangan,Sumatera Barat
Great,great,great,Great,4,Wina Junita Fitria,2026-03-25T09:51:49.660Z,Nagari Pariangan,Sumatera Barat
Recommended,recommended,recommended,Recommended,5,Deby Antony,2026-02-23T04:34:13.961Z,Nagari Pariangan,Sumatera Barat
"Desa indah, cocok untuk yang mau healing, dengan view pemandangan yang cantik memanjakan mata, dan udara segar yang menggelitik hidung. Untuk yang suka perjalanan dengan view indah, cocok untuk pergi ke desa ini.",desa indah cocok healing view pemandangan cantik memanjakan udara segar menggelitik hidung suka perjalanan view indah cocok pergi desa,desa indah cocok healing view pandang cantik manja udara segar gelitik hidung suka jalan view indah cocok pergi desa,"Desa indah, cocok untuk yang mau healing, dengan view pemandangan yang cantik memanjakan mata, dan udara segar yang menggelitik hidung. Untuk yang suka perjalanan dengan view indah, cocok untuk pergi ke desa ini.",5,nisa smngt,2026-02-18T10:50:20.277Z,Nagari Pariangan,Sumatera Barat
pengen nginap d desa ini,pengin nginap desa,pengin nginap desa,pengen nginap d desa ini,5,ryp bin emzi bin ahmad,2026-01-18T23:14:23.906Z,Nagari Pariangan,Sumatera Barat
gercep,gercep,gercep,gercep,5,Hardi Saputra,2026-01-16T05:05:26.871Z,Nagari Pariangan,Sumatera Barat
Sangat indah..jgn lp minum kawa dgn gorengan menambah syahdu..,indah lp minum kawa gorengan menambah syahdu,indah lp minum kawa goreng tambah syahdu,Sangat indah..jgn lp minum kawa dgn gorengan menambah syahdu..,5,Amelia M S,2026-01-16T03:04:38.177Z,Nagari Pariangan,Sumatera Barat
