review_text,rating,author,date,nama desa wisata
enakk warga nya sopan semua makmur,5,gal 123,2026-04-04T12:02:30.226Z,Pentingsari
Kampung suami,5,Yumnaica Aidulfitrya Djjaya,2026-03-16T13:38:02.046Z,Pentingsari
You can learn javanese culture such as traditional dancing. You can also experience traditional way of living in java. There also campsite and many open spaces to play and do the outbound games.,5,Ali Tafrihatullutfi (Kang Lutfi),2026-02-03T05:53:45.145Z,Pentingsari
"Kearifan lokal yang menyenangkan, keramahan penduduk nya yang luar biasa",5,Sahid Arbas,2026-01-25T04:53:43.104Z,Pentingsari
"Desa wisata terbaik.
Terbaik dalam keramahan, pelayanan, makanan, dan kegiatan.
Sangat cocok untuk tempat belajar siswa dengan sistem live in di rumah host fam.",5,agung hartono,2026-01-14T11:02:39.511Z,Pentingsari
Hiburan,5,Karjo Mugo,2026-01-01T08:31:32.011Z,Pentingsari
"Tempatnya luas dan asri cukup bagus untuk kegiatan fun games, kamar mandi cukup banyak cuma gak semuanya air kerannya nyala kemarin pas cek yg sebelah barat. Semoga pengelolaannya lebih baik lagi 👍",5,Ulfa Nur Wahyudi,2025-12-28T05:19:26.687Z,Pentingsari
"Rumah Simbahnya Zahra ada di desa inih, lingkungannya masih asri banyak pohon² besar.. O2 melimpah.. cocok banget kalo suka hiking atau sepedaan jenis MTB / Gravel",5,edwonk zapravo,2025-12-22T12:01:00.532Z,Pentingsari
seru banget kesini. wisata yang bener2 seru apalagi kalau live in. enjoy here,5,Lutfi Hakim,2025-12-19T00:42:53.602Z,Pentingsari
"Di desa ini buat ngadain acara penanaman pohon dan bapaknya yang ngelola ramah sekali 🙏🏻😊

Cocok untuk wisata alam, yang mau camping apalagi. View-nya Kali Kuning, bisa main air juga karena tidak terlalu deras arusnya. Recommended!",5,Rifka Agnes,2025-12-11T10:45:32.043Z,Pentingsari
Lingkungan sangat nyaman,5,Vegha Ghani Karera,2025-12-11T00:04:45.356Z,Pentingsari
"puas dengan pelayanan pemandu nya, desa nya rapi bersih, kaya akan SDM, dan pengelolaan nya kereeennnn🤩🤩🤩",5,Berlian Febiantika,2025-11-27T14:47:07.002Z,Pentingsari
"Lingkungan nya nyaman dan asri, kita bs belajar dlm budaya yg  jarang kita temukan ditempat lain",5,Dese Rudiana,2025-11-11T15:46:44.449Z,Pentingsari
"Desanya asri,alami dan suasananya enak. Lingkungannya bersih,banyak home stay. Kesana cuma mampir jajan tidak menginap.",5,Dimas Suryo,2025-10-26T14:08:30.149Z,Pentingsari
Tempat bagus.. natural village,5,abramwidi,2025-10-24T11:54:30.603Z,Pentingsari
"Far from the busy town, calming and relaxing, the residents are so friendly, we living in with locals at their home, learning about what do they do everyday, trying a lot of things that you wouldn't find in the city life. But please lower your expectations, since the homestay is the residents home, so yes it will be different one to another.",4,violin ocarina,2025-10-19T00:31:47.242Z,Pentingsari
