review,cleaned_review,cleaned_review_stemmed,review_text,rating,author,date,nama desa wisata,provinsi
"Ruang Ganti Acak-acakan,Pintu Toilet Jebol kok gak segera di benahi ?
Minim ruang ganti",ruang ganti acak acakan pintu toilet jebol benahi minim ruang ganti,ruang ganti acak acak pintu toilet jebol benah minim ruang ganti,"Ruang Ganti Acak-acakan,Pintu Toilet Jebol kok gak segera di benahi ?
Minim ruang ganti",1,Abast _13,2026-03-29T03:56:37.879Z,Osing,
Sangat bagus kolam renang disini suasananya juga terasa tenang,bagus kolam renang suasananya tenang,bagus kolam renang suasana tenang,Sangat bagus kolam renang disini suasananya juga terasa tenang,5,Prayitno Yitno,2026-03-17T13:36:05.627Z,Osing,
Mayan,lumayan,lumayan,Mayan,3,Faisal Kurniawan,2026-02-15T04:00:29.848Z,Osing,
seru,seru,seru,seru,5,Acc ffindo,2026-02-06T10:28:23.859Z,Osing,
"Rumah-rumah lama masih terawat dan beberapa alih fungsi. Penduduknya ramah, tamu boleh mengambil foto rumah mereka.",rumah rumah terawat alih fungsi penduduknya ramah tamu mengambil foto rumah,rumah rumah awat alih fungsi duduk ramah tamu ambil foto rumah,"Rumah-rumah lama masih terawat dan beberapa alih fungsi. Penduduknya ramah, tamu boleh mengambil foto rumah mereka.",4,Agus Dwi Hariyanto,2026-01-18T07:48:08.537Z,Osing,
"Gak kaya dulu pertama datang sekarang gak telalu bwrsih, banyak bangunan tbengkakai kasih kesan kotor dan serem. Tapi dia punya pemandangan cantik banget",kayak telalu bwrsih bangunan tbengkakai kasih kesan kotor seram pemandangan cantik banget,kayak talu bwrsih bangun tbengkakai kasih kesan kotor seram pandang cantik banget,"Gak kaya dulu pertama datang sekarang gak telalu bwrsih, banyak bangunan tbengkakai kasih kesan kotor dan serem. Tapi dia punya pemandangan cantik banget",5,Miss Pj,2026-01-16T22:55:50.766Z,Osing,
"Kotor
Banyak Nyamuk
Kasihan banget lokasi dan desa wisata adat kondisinya sekarang kyk gini
Harga Tiket Murah
Dewasa 10rb
Anak2 5rb
Parkir Mobil 4rb
Udah Sepi Banget.",kotor nyamuk kasihan banget lokasi desa wisata adat kondisinya kayak harga tiket murah dewasa ribu anak ribu parkir mobil ribu sepi banget,kotor nyamuk kasihan banget lokasi desa wisata adat kondisi kayak harga tiket murah dewasa ribu anak ribu parkir mobil ribu sepi banget,"Kotor
Banyak Nyamuk
Kasihan banget lokasi dan desa wisata adat kondisinya sekarang kyk gini
Harga Tiket Murah
Dewasa 10rb
Anak2 5rb
Parkir Mobil 4rb
Udah Sepi Banget.",1,kuncoro fajar wiroantoyo,2026-01-08T06:26:07.892Z,Osing,
"Parah.
Tiket Dewasa 10rb
Anak2 5rb
Parkir Mobil 4rb
Dikasih diskon 5rb TAPI GADIKASIH NOTA atau TIKET MASUK SAMA SEKALI (Trus UANG TIKET MASUK dipake SIAPA)
PERAWATANNYA 0 PARAH.
KOTOR, NGGAK TERAWAT, AIR KOLAM BESAR KOSONG  NYAMUK DAN KOTORAN DIMANA2.

Kasihan banget tempatnya.",parah tiket dewasa ribu anak ribu parkir mobil ribu dikasih diskon ribu gadikasih nota tiket uang tiket dipakai perawatannya parah kotor terawat air kolam kosong nyamuk kotoran dimana kasihan banget tempatnya,parah tiket dewasa ribu anak ribu parkir mobil ribu kasih diskon ribu gadikasih nota tiket uang tiket pakai awat parah kotor awat air kolam kosong nyamuk kotor mana kasihan banget tempat,"Parah.
Tiket Dewasa 10rb
Anak2 5rb
Parkir Mobil 4rb
Dikasih diskon 5rb TAPI GADIKASIH NOTA atau TIKET MASUK SAMA SEKALI (Trus UANG TIKET MASUK dipake SIAPA)
PERAWATANNYA 0 PARAH.
KOTOR, NGGAK TERAWAT, AIR KOLAM BESAR KOSONG  NYAMUK DAN KOTORAN DIMANA2.

Kasihan banget tempatnya.",1,Gelandang Bertahan,2026-01-06T07:58:51.426Z,Osing,
Air pemandian sumber alam khas banyuwangi,air pemandian sumber alam khas banyuwangi,air mandi sumber alam khas banyuwangi,Air pemandian sumber alam khas banyuwangi,5,bengkel ud.gps_garage,2025-12-24T22:46:14.329Z,Osing,
"Tempat tidak terawat, hanya ada pemandian. Jam operasional hanya sampai jam 16.00",terawat pemandian jam operasional jam,awat mandi jam operasional jam,"Tempat tidak terawat, hanya ada pemandian. Jam operasional hanya sampai jam 16.00",4,Rosana Sari,2025-12-23T09:35:51.467Z,Osing,
