review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
"Yang menarik dari wisata ini, untuk menuju pulau Kemaro kita wajib naek perahu melintasi sungai Musi yang panjang.
Serunya dalam perjalanan yang diguncang guncang deburan dan ombak kecil.
Asyik dan seru
Recommended 👍",menarik wisata pulau kemaro wajib perahu melintasi sungai musi serunya perjalanan diguncang guncang deburan ombak asyik seru recommended,tarik wisata pulau maro wajib perahu lintas sungai mus seru jalan guncang guncang debur ombak asyik seru recommended,Pulau Kemaro,Sumatera Selatan
Family gathring kesini,family gathring kesini,family gathring kesini,Pulau Kemaro,Sumatera Selatan
Tempat ini sangat seru banyak makanan dan minuman yang di perjuanl belikan di situ sehingga bisa membantu daya tarik orang,seru makanan minuman perjuanl belikan situ membantu daya tarik,seru makan minum perjuanl belikan situ bantu daya tarik,Pulau Kemaro,Sumatera Selatan
"Tempatnya bersih, dan harga makanan, aksesoris terjangkau tidak membuat leher tercekik, kalo ada event besar juga ada polisi yang jaga jadi sangat aman ya..",tempatnya bersih harga makanan aksesoris terjangkau leher tercekik kalo event polisi jaga aman,tempat bersih harga makan aksesoris jangkau leher cekik kalo event polisi jaga aman,Pulau Kemaro,Sumatera Selatan
Rumah saya,rumah,rumah,Pulau Kemaro,Sumatera Selatan
"Lumayan lah sudah lama gak cap go meh
Tapi kalau bisa lebih rapi dan bersih sih
Sayang rame dan hidup loh eventnya",lumayan cap go meh rapi bersih sayang rame hidup eventnya,lumayan cap go meh rapi bersih sayang rame hidup eventnya,Pulau Kemaro,Sumatera Selatan
Pulau kemaro selain merupakan tempat ibadah umat Buddha juga menjadi salah satu tempat wisata yang wajib dikunjungi di Palembang. Apalagi sekarang setelah di reklamasi sehingga pulau menjadi lebih luas dan tertata 👍. Lebih bagus lagi kalau mengunjungi pulau ini di saat perayaan cap go meh 🧧,pulau kemaro ibadah umat buddha salah wisata wajib dikunjungi palembang reklamasi pulau luas tertata bagus mengunjungi pulau perayaan cap go meh,pulau maro ibadah umat buddha salah wisata wajib kunjung palembang reklamasi pulau luas tata bagus unjung pulau raya cap go meh,Pulau Kemaro,Sumatera Selatan
Religiua,religiua,religiua,Pulau Kemaro,Sumatera Selatan
"Baiknya lebih di kelola lebih baik lagi, sayang sekali aset sejarah kurang terawat",baiknya kelola sayang aset sejarah terawat,baik kelola sayang aset sejarah awat,Pulau Kemaro,Sumatera Selatan
"🌿 Legenda Pulau Kemaro

Pulau Kemaro dipercaya berasal dari kisah cinta tragis antara Siti Fatimah, putri bangsawan Palembang, dan Tan Bun An, seorang pangeran dari Tiongkok.
Keduanya saling jatuh cinta meski berasal dari budaya dan latar belakang yang berbeda.

Saat Tan Bun An datang ke Palembang untuk melamar, ia membawa hadiah berupa guci-guci besar yang konon berisi emas. Namun saat dibuka, isinya terlihat seperti sawi asin. Karena merasa dihina, Siti Fatimah kecewa dan menolak hadiah tersebut.

Tan Bun An yang merasa bersalah kemudian membuang guci-guci itu ke Sungai Musi. Namun setelah disadari, di dasar guci ternyata tersembunyi emas. Ia pun menyelam untuk mengambilnya, tapi tak pernah kembali ke permukaan.
Melihat hal itu, Siti Fatimah menyusul dengan melompat ke sungai demi cintanya.

Konon, dari tempat tenggelamnya mereka berdua muncullah sebuah daratan kecil yang kini dikenal sebagai Pulau Kemaro.
Pulau ini dipercaya sebagai simbol cinta sejati, kesetiaan, dan pengorbanan.

⸻

🏮 Fakta Menarik
•	Pulau Kemaro tidak pernah tergenang meski Sungai Musi pasang.
•	Di pulau ini terdapat pagoda 9 lantai, vihara, dan makam yang dipercaya sebagai makam Siti Fatimah & Tan Bun An.
•	Setiap perayaan Cap Go Meh, pulau ini ramai dikunjungi peziarah dan wisatawan.",legenda pulau kemaro pulau kemaro dipercaya berasal kisah cinta tragis siti fatimah putri bangsawan palembang tan bun an pangeran tiongkok jatuh cinta berasal budaya latar berbeda tan bun an palembang melamar membawa hadiah guci guci konon berisi emas dibuka isinya sawi asin dihina siti fatimah kecewa menolak hadiah tan bun an bersalah membuang guci guci sungai musi disadari dasar guci tersembunyi emas menyelam mengambilnya permukaan siti fatimah menyusul melompat sungai cintanya konon tenggelamnya berdua muncullah daratan dikenal pulau kemaro pulau dipercaya simbol cinta sejati kesetiaan pengorbanan fakta menarik pulau kemaro tergenang sungai musi pasang pulau pagoda lantai vihara makam dipercaya makam siti fatimah tan bun an perayaan cap go meh pulau ramai dikunjungi peziarah wisatawan,legenda pulau maro pulau maro percaya asal kisah cinta tragis siti fatimah putri bangsawan palembang tan bun an pangeran tiongkok jatuh cinta asal budaya latar beda tan bun an palembang lamar bawa hadiah guci guci konon isi emas buka isi sawi asin hina siti fatimah kecewa tolak hadiah tan bun an salah buang guci guci sungai mus sadar dasar guci sembunyi emas selam ambil muka siti fatimah susul lompat sungai cinta konon tenggelam dua muncul darat kenal pulau maro pulau percaya simbol cinta sejati setia korban fakta tarik pulau maro genang sungai mus pasang pulau pagoda lantai vihara makam percaya makam siti fatimah tan bun an raya cap go meh pulau ramai kunjung ziarah wisatawan,Pulau Kemaro,Sumatera Selatan
"Kebersihan tempatnya benar benar terjaga , harga makanan dan aksesoris disini juga termasuk terjangkau  , pokoknya kalau untuk sekedar kumpul sama teman disini wisata asik banget",kebersihan tempatnya terjaga harga makanan aksesoris terjangkau pokoknya sekedar kumpul teman wisata asik banget,bersih tempat jaga harga makan aksesoris jangkau pokok dar kumpul teman wisata asik banget,Pulau Kemaro,Sumatera Selatan
Pulau Kemaro ada legenda,pulau kemaro legenda,pulau maro legenda,Pulau Kemaro,Sumatera Selatan
Cantik,cantik,cantik,Pulau Kemaro,Sumatera Selatan
Salah satu tempat bersejarah yang ada di Palembang,salah bersejarah palembang,salah sejarah palembang,Pulau Kemaro,Sumatera Selatan
"Agak lain 10ribu jadi
#100ribuNyebrang",ribu ribunyebrang,ribu ribunyebrang,Pulau Kemaro,Sumatera Selatan
Kalo ke Palembang mesti mampir ke sini,kalo palembang mesti mampir,kalo palembang mesti mampir,Pulau Kemaro,Sumatera Selatan
Info untuk lebaran ini harga tiket berapo kalo nak ke pulau kemaro,info lebaran harga tiket berapo kalo nak pulau kemaro,info lebaran harga tiket apo kalo nak pulau maro,Pulau Kemaro,Sumatera Selatan
"Wajib menyusuri sungai musi pake perahu…👍🏿👍🏿 pagodanya tinggi dan unik, wajib mampir jika ada d Palembang",wajib menyusuri sungai musi pakai perahu pagodanya tinggi unik wajib mampir palembang,wajib susur sungai mus pakai perahu pagoda tinggi unik wajib mampir palembang,Pulau Kemaro,Sumatera Selatan
Ok,ok,ok,Pulau Kemaro,Sumatera Selatan
"Sangat ramai, banyak orang berjualan.
Mulai makanan berat, snack, hingga minuman.
Paling suka es tebu harga 5ribu",ramai berjualan makanan berat snack minuman suka es tebu harga ribu,ramai jual makan berat snack minum suka es tebu harga ribu,Pulau Kemaro,Sumatera Selatan
"Suasan oke, tempat beribadah yang luas, akses jalan mudah kalau lagi hari raya",suasan oke beribadah luas akses jalan mudah raya,suasan oke ibadah luas akses jalan mudah raya,Pulau Kemaro,Sumatera Selatan
Cap go meh 2025 disini,cap go meh,cap go meh,Pulau Kemaro,Sumatera Selatan
Perayaan cap go meh 10 februari 2025 di Pulau Kemaro,perayaan cap go meh februari pulau kemaro,raya cap go meh februari pulau maro,Pulau Kemaro,Sumatera Selatan
Sangat puas mengunakan goole Maps,puas mengunakan goole,puas mengunakan goole,Pulau Kemaro,Sumatera Selatan
Tempat nya bagus dan bersih gampang diakses,bagus bersih gampang diakses,bagus bersih gampang akses,Pulau Kemaro,Sumatera Selatan
Kapan di mulai buka ? Bisakah kita masuk seblm tgl 10,buka seblm tanggal,buka seblm tanggal,Pulau Kemaro,Sumatera Selatan
Harus nya diperbagus lagi shingga bs memdtgkn wisatawan lbh byk lg klo dikelola lg,diperbagus shingga memdtgkn wisatawan kalo dikelola,bagus shingga memdtgkn wisatawan kalo kelola,Pulau Kemaro,Sumatera Selatan
"Bener-bener gak ada niatin mau kesini, tapi karena anak mau nyobain naik perahu di sungai musi, jadilah ditawarin bapak-bapak untuk ke Kemaro. Deal diharga 180k 2 dewasa dan 3 anak-anak.
Perahu kecil, bawanya ngebutttttt bangettttt. Beberapa kali hampir mati mesin dan 1x mati mesin dengan keadaan arus air yang kenceng, perahu goyah banget, traumanya masih kerasa sampai sekarang. Padahal udah minta pelan-pelan. Bagi penduduk asli, mungkin gak kaget lagi dengan speed kencang begitu, tapi bagi kami yang first time🥲 Tak tandain kamu Pak !

Masuk gratis, pas kesini lagi sepi.
Ada bapak-bapak TNI yang ramah.
Ada jasa foto dan cetaknya juga, 1 foto 20k, 2 foto bayar 35k dapat diskon, hehe.
Hanya area tempat cetaknya, banyak kot*ran hewan.
Semoga bisa lebih diperhatikan lagi ya kebersihannya.
Terima kasih.",niatin kesini anak mencoba perahu sungai musi ditawarin kemaro deal diharga kak dewasa anak anak perahu bawanya ngebutttttt banget mati mesin mati mesin arus air kencang perahu goyah banget traumanya kerasa pelan pelan penduduk asli kaget speed kencang first time tandain gratis pas kesini sepi tni ramah jasa foto cetaknya foto kak foto bayar kak diskon hehe area cetaknya kot ran hewan semoga diperhatikan kebersihannya terima kasih,niatin kesini anak coba perahu sungai mus ditawarin maro deal harga kak dewasa anak anak perahu bawa ngebutttttt banget mati mesin mati mesin arus air kencang perahu goyah banget trauma rasa pelan pelan duduk asli kaget speed kencang first time tandain gratis pas kesini sepi tni ramah jasa foto cetak foto kak foto bayar kak diskon hehe area cetak kot ran hewan moga perhati bersih terima kasih,Pulau Kemaro,Sumatera Selatan
"Pulau Kemaro adalah sebuah pulau kecil yang terletak di tengah Sungai Musi, Palembang. Pulau ini terkenal dengan keindahan alamnya dan juga kaya akan sejarah dan legenda.

Pulau Kemaro dikenal dengan legenda cinta tragis antara Tan Bun An, seorang saudagar Tiongkok, dan Siti Fatimah, putri Raja Palembang. Kisah cinta mereka abadi dalam bentuk pagoda sembilan lantai yang menjadi ikon pulau ini. Pagoda ini merupakan bangunan yang paling ikonik di Pulau Kemaro. Arsitekturnya yang unik dan pemandangannya yang indah menjadikannya spot foto yang populer. Selain pagoda, di pulau ini juga terdapat kuil Buddha yang sering dikunjungi oleh umat Buddha, terutama saat perayaan Cap Go Meh.

Jauh dari hiruk pikuk kota, Pulau Kemaro menawarkan suasana yang tenang dan damai, cocok untuk bersantai dan menikmati keindahan alam. Dari Pulau Kemaro, pengunjung dapat menikmati pemandangan Sungai Musi yang luas dan indah, terutama saat matahari terbit atau terbenam.

Secara keseluruhan, Pulau Kemaro adalah destinasi wisata yang menarik di Palembang. Dengan keindahan alamnya, sejarah yang kaya, dan legenda yang menarik, Pulau Kemaro menawarkan pengalaman wisata yang unik. Jika Anda berkunjung ke Palembang, jangan lewatkan kesempatan untuk mengunjungi pulau ini.

Disclaimer dan Saran untuk Pengunjung Pulau Kemaro untuk ulasan saya tentang Pulau Kemaro berdasarkan pengalaman pribadi saya. Perlu diingat bahwa pendapat setiap pengunjung bisa berbeda-beda.

Semoga informasi ini membantu!",pulau kemaro pulau terletak tengah sungai musi palembang pulau terkenal keindahan alamnya kayak sejarah legenda pulau kemaro dikenal legenda cinta tragis tan bun an saudagar tiongkok siti fatimah putri raja palembang kisah cinta abadi bentuk pagoda sembilan lantai ikon pulau pagoda bangunan ikonik pulau kemaro arsitekturnya unik pemandangannya indah menjadikannya spot foto populer pagoda pulau kuil buddha dikunjungi umat buddha perayaan cap go meh hiruk pikuk kota pulau kemaro menawarkan suasana tenang damai cocok bersantai menikmati keindahan alam pulau kemaro pengunjung menikmati pemandangan sungai musi luas indah matahari terbit terbenam pulau kemaro destinasi wisata menarik palembang keindahan alamnya sejarah kayak legenda menarik pulau kemaro menawarkan pengalaman wisata unik berkunjung palembang lewatkan kesempatan mengunjungi pulau disclaimer saran pengunjung pulau kemaro ulasan pulau kemaro berdasarkan pengalaman pribadi pendapat pengunjung berbeda beda semoga informasi membantu,pulau maro pulau letak tengah sungai mus palembang pulau kenal indah alam kayak sejarah legenda pulau maro kenal legenda cinta tragis tan bun an saudagar tiongkok siti fatimah putri raja palembang kisah cinta abadi bentuk pagoda sembilan lantai ikon pulau pagoda bangun ikonik pulau maro arsitektur unik pandang indah jadi spot foto populer pagoda pulau kuil buddha kunjung umat buddha raya cap go meh hiruk pikuk kota pulau maro tawar suasana tenang damai cocok santa nikmat indah alam pulau maro unjung nikmat pandang sungai mus luas indah matahari terbit benam pulau maro destinasi wisata tarik palembang indah alam sejarah kayak legenda tarik pulau maro tawar alam wisata unik kunjung palembang lewat sempat unjung pulau disclaimer saran unjung pulau maro ulas pulau maro dasar alam pribadi dapat unjung beda beda moga informasi bantu,Pulau Kemaro,Sumatera Selatan
"Belum sempat ke Pulau Kemaro,caknyo gagal teros",pulau kemaro caknyo gagal teros,pulau maro caknyo gagal ros,Pulau Kemaro,Sumatera Selatan
"02 Februari 2023, Pertama Kali menginjakkan kaki disini. Hanya ingin mengenang hal2 indahnya saja, tidak untuk kenangan pahitnya. Terimakasih Palembang, Terimakasih Pulau Kemaro, senang bisa befoto dan mengabadikan moment disini. 😊☺️",februari menginjakkan kaki mengenang indahnya kenangan pahitnya terimakasih palembang terimakasih pulau kemaro senang befoto mengabadikan moment,februari injak kaki kenang indah kenang pahit terimakasih palembang terimakasih pulau maro senang befoto abadi moment,Pulau Kemaro,Sumatera Selatan
"wisata religie umat khatolik Jakarta Barat, bersama Bus pariwisata PO. BAMtrans",wisata religie umat khatolik jakarta barat bus pariwisata po bamtrans,wisata religie umat khatolik jakarta barat bus pariwisata po bamtrans,Pulau Kemaro,Sumatera Selatan
